age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y
20,student,single,secondary,no,502,no,no,cellular,apr,261,1,-1,0,unknown,yes
68,retired,divorced,secondary,no,4189,no,no,telephone,jul,897,2,-1,0,unknown,yes
32,management,single,tertiary,no,2536,yes,no,cellular,aug,958,6,-1,0,unknown,yes
49,technician,married,tertiary,no,1235,no,no,cellular,aug,354,3,-1,0,unknown,yes
78,retired,divorced,primary,no,229,no,no,telephone,oct,97,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,2089,yes,no,cellular,nov,132,1,-1,0,unknown,yes
33,management,married,secondary,no,3935,yes,no,cellular,may,765,1,342,2,failure,yes
61,admin.,married,unknown,no,4629,yes,no,cellular,jan,181,1,92,1,success,yes
45,blue-collar,divorced,primary,no,844,no,no,unknown,jun,1018,3,-1,0,unknown,yes
34,technician,married,tertiary,no,1539,yes,no,cellular,jun,441,1,56,1,other,yes
37,management,married,tertiary,no,0,no,no,cellular,jul,268,2,182,3,success,yes
27,admin.,divorced,secondary,no,451,yes,no,cellular,jul,652,1,-1,0,unknown,yes
52,services,married,secondary,no,657,no,no,telephone,jul,398,2,460,2,failure,yes
37,management,married,tertiary,no,1315,no,no,cellular,jun,224,1,-1,0,unknown,yes
27,services,single,secondary,no,-195,yes,no,cellular,may,391,1,-1,0,unknown,yes
31,unemployed,single,primary,no,406,no,no,cellular,feb,736,1,-1,0,unknown,yes
56,unemployed,married,primary,no,3391,no,no,cellular,apr,243,1,-1,0,unknown,yes
21,student,single,secondary,no,2488,no,no,cellular,jun,258,6,169,3,success,yes
25,student,single,secondary,no,331,no,no,telephone,aug,170,4,-1,0,unknown,yes
25,technician,single,secondary,no,505,no,yes,cellular,nov,386,2,-1,0,unknown,yes
34,self-employed,single,tertiary,no,462,no,no,cellular,aug,1877,3,-1,0,unknown,yes
77,retired,divorced,tertiary,no,4659,no,no,cellular,apr,161,1,-1,0,unknown,yes
52,management,married,tertiary,no,-970,yes,no,cellular,feb,489,1,-1,0,unknown,yes
55,admin.,married,secondary,no,602,no,no,cellular,jun,324,3,90,2,success,yes
28,management,single,tertiary,no,80,no,no,cellular,oct,676,2,146,2,failure,yes
56,retired,married,secondary,no,-1206,yes,no,cellular,jun,382,2,-1,0,unknown,yes
75,retired,married,secondary,no,3771,no,no,telephone,apr,185,1,181,2,success,yes
35,technician,single,tertiary,no,2658,yes,no,cellular,aug,768,2,141,3,failure,yes
29,blue-collar,single,tertiary,no,455,no,no,telephone,apr,403,1,-1,0,unknown,yes
42,management,married,tertiary,no,372,yes,no,cellular,aug,654,2,-1,0,unknown,yes
29,blue-collar,single,secondary,no,482,no,yes,cellular,jul,1097,3,-1,0,unknown,yes
24,blue-collar,single,secondary,no,174,yes,yes,cellular,may,487,1,-1,0,unknown,yes
34,admin.,married,tertiary,no,69,no,yes,cellular,aug,120,3,1,6,success,yes
50,blue-collar,married,primary,no,4108,yes,no,cellular,aug,526,2,-1,0,unknown,yes
49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,jul,988,2,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,may,1030,1,-1,0,unknown,yes
38,entrepreneur,married,secondary,no,593,yes,yes,cellular,jul,1484,24,-1,0,unknown,yes
32,blue-collar,married,secondary,no,759,yes,no,cellular,apr,317,5,-1,0,unknown,yes
49,entrepreneur,married,secondary,no,687,yes,no,cellular,apr,772,1,-1,0,unknown,yes
25,admin.,single,tertiary,no,760,yes,no,cellular,may,223,3,89,2,failure,yes
35,entrepreneur,married,secondary,no,2971,no,no,cellular,may,429,4,164,2,failure,yes
38,management,married,tertiary,no,1199,no,no,cellular,aug,178,1,1,1,success,yes
35,entrepreneur,single,tertiary,no,145,yes,no,cellular,jul,799,2,-1,0,unknown,yes
35,unemployed,married,secondary,no,978,no,no,cellular,dec,1370,3,209,3,success,yes
32,services,married,primary,no,228,yes,no,cellular,jul,1017,6,-1,0,unknown,yes
30,management,single,tertiary,no,424,no,no,cellular,apr,298,4,-1,0,unknown,yes
