"Town","FIPS","Value"
"Andover","0901301080",1216
"Ansonia","0900901220",7806
"Ashford","0901501430",1774
"Avon","0900302060",6977
"Barkhamsted","0900502760",1336
"Beacon Falls","0900903250",2447
"Berlin","0900304300",8181
"Bethany","0900904580",2018
"Bethel","0900104720",7164
"Bethlehem","0900504930",1204
"Bloomfield","0900305910",8727
"Bolton","0901306260",1821
"Bozrah","0901106820",986
"Branford","0900907310",12369
"Bridgeport","0900108070",50638
"Bridgewater","0900508210",699
"Bristol","0900308490",24638
"Brookfield","0900108980",6200
"Brooklyn","0901509190",2915
"Burlington","0900310100",3462
"Canaan","0900510940",507
"Canterbury","0901512130",1916
"Canton","0900312270",4046
"Chaplin","0901513810",988
"Cheshire","0900914160",10169
"Chester","0900714300",1772
"Clinton","0900715350",5396
"Colchester","0901115910",5985
"Colebrook","0900516050",590
"Columbia","0901316400",2156
"Cornwall","0900517240",598
"Coventry","0901317800",4648
"Cromwell","0900718080",5897
"Danbury","0900118500",30000
"Darien","0900118850",6895
"Deep River","0900719130",1883
"Derby","0900919550",5146
"Durham","0900720810",2768
"East Granby","0900322070",2027
"East Haddam","0900722280",3640
"East Hampton","0900722490",4831
"East Hartford","0900322630",19046
"East Haven","0900922910",11147
"East Lyme","0901123400",7345
"East Windsor","0900324800",4855
"Eastford","0901521860",681
"Easton","0900123890",2799
"Ellington","0901325360",7000
"Enfield","0900325990",16744
"Essex","0900726270",3074
"Fairfield","0900126620",20641
"Farmington","0900327600",10463
"Franklin","0901129910",717
"Glastonbury","0900331240",13411
"Goshen","0900532290",1098
"Granby","0900332640",4147
"Greenwich","0900133620",22271
"Griswold","0901133900",4898
"Groton","0901134250",15958
"Guilford","0900934950",8397
"Haddam","0900735230",3101
"Hamden","0900935650",22577
"Hampton","0901536000",785
"Hartford","0900337070",46690
"Hartland","0900337140",756
"Harwinton","0900537280",1943
"Hebron","0901337910",3528
"Kent","0900540290",1176
"Killingly","0901540500",7088
"Killingworth","0900740710",2304
"Lebanon","0901142390",2818
"Ledyard","0901142600",5769
"Lisbon","0901143230",1714
"Litchfield","0900543370",3415
"Lyme","0901144210",1056
"Madison","0900944560",6912
"Manchester","0900344700",23645
"Mansfield","0901344910",5740
"Marlborough","0900345820",2331
"Meriden","0900946520",25595
"Middlebury","0900946940",2749
"Middlefield","0900747080",1758
"Middletown","0900747360",19294
"Milford","0900947535",22451
"Monroe","0900148620",6673
"Montville","0901148900",6997
"Morris","0900549460",854
"Naugatuck","0900949950",11589
"New Britain","0900350440",28232
"New Canaan","0900150580",7116
"New Fairfield","0900150860",4971
"New Hartford","0900551350",2580
"New Haven","0900952070",49177
"New London","0901152350",10732
"New Milford","0900552630",10512
"Newington","0900352140",12366
"Newtown","0900152980",9885
"Norfolk","0900553470",700
"North Branford","0900953890",5339
"North Canaan","0900554030",1402
"North Haven","0900954870",9064
"North Stonington","0901155500",1982
"Norwalk","0900156060",34187
"Norwich","0901156270",16121
"Old Lyme","0901157040",3197
"Old Saybrook","0900757320",4343
"Orange","0900957600",4974
"Oxford","0900958300",4694
"Plainfield","0901559980",5595
"Plainville","0900360120",7637
"Plymouth","0900560750",4858
"Pomfret","0901561030",1647
"Portland","0900761800",3741
"Preston","0901162150",1830
"Prospect","0900962290",3347
"Putnam","0901562710",4096
"Redding","0900163480",3452
"Ridgefield","0900163970",9001
"Rocky Hill","0900365370",8621
"Roxbury","0900565930",892
"Salem","0901166210",1661
"Salisbury","0900566420",1700
"Scotland","0901567400",614
"Seymour","0900967610",6203
"Sharon","0900567960",1278
"Shelton","0900168170",16185
"Sherman","0900168310",1470
"Simsbury","0900368940",9583
"Somers","0901369220",3625
"South Windsor","0900371390",9783
"Southbury","0900969640",7966
"Southington","0900370550",17162
"Sprague","0901171670",1149
"Stafford","0901372090",4707
"Stamford","0900173070",49141
"Sterling","0901573420",1446
"Stonington","0901173770",8210
"Stratford","0900174190",19857
"Suffield","0900374540",5158
"Thomaston","0900575730",3157
"Thompson","0901575870",3569
"Tolland","0901376290",5252
"Torrington","0900576570",14471
"Trumbull","0900177200",12190
"Union","0901377830",374
"Vernon","0901378250",13039
"Voluntown","0901178600",987
"Wallingford","0900978740",18664
"Warren","0900579510",593
"Washington","0900579720",1388
"Waterbury","0900980070",40937
"Waterford","0901180280",7715
"Watertown","0900580490",8513
"West Hartford","0900382590",24726
"West Haven","0900982870",19886
"Westbrook","0900781680",3169
"Weston","0900183430",3447
"Westport","0900183500",9916
"Wethersfield","0900384900",10917
"Willington","0901385950",2577
"Wilton","0900186370",6090
"Winchester","0900586440",4550
"Windham","0901586790",8590
"Windsor","0900387000",10770
"Windsor Locks","0900387070",5307
"Wolcott","0900987560",6052
"Woodbridge","0900987700",2897
"Woodbury","0900587910",4129
"Woodstock","0901588190",3249
