,X,cnty_rte,milepost,CASENO,severity,light,numvehs,numlanes,mediantype,medwidth,speed,volume,ruralurban
1,01001 23 U-12.21-201401140950915017279,01001 23 U,12.21,2.01E+20,4,DL,2,2,UD,0,I,1900,R
2,01001 23 U-14.41-201401061743915017279,01001 23 U,14.41,2.01E+20,1,NDL,1,2,UD,0,I,1900,R
3,01001 23 U-34.23-201401141055915018969,01001 23 U,34.23,2.01E+20,5,DL,2,2,UD,0,L,1086,R
4,01001 23 U-61.299-201401080849230100002,01001 23 U,61.299,2.01E+20,5,DL,2,4,UD,0,L,15103,B
5,01001 23 U-62.083-201401031355230100053,01001 23 U,62.083,2.01E+20,4,DL,2,4,UD,0,I,13046,B
6,01001 23 U-93.36-201401011530912620706,01001 23 U,93.36,2.01E+20,5,DL,1,2,UD,0,L,660,R
7,01020 17 D-13.79-201401031939915119714,01020 17 D,13.79,2.01E+20,5,NDL,1,2,D,12,I,11087,B
8,01020 17 D-17.74-201401011125915118337,01020 17 D,17.74,2.01E+20,5,DL,1,2,D,12,L,9363,B
9,01020 17 U-18.05-201401081430915116414,01020 17 U,18.05,2.01E+20,5,DL,1,2,UD,0,I,9024,B
10,01020 17 U-29.97-201401130805915116148,01020 17 U,29.97,2.01E+20,5,DL,1,2,UD,0,I,7179,R
11,01020 17 U-8.41-201401141725915119430,01020 17 U,8.41,2.01E+20,5,NDL,2,2,UD,0,I,8200,R
12,01020 23 U-0.8-201401102150915020398,01020 23 U,0.8,2.01E+20,3,NDL,1,2,UD,0,I,6300,B
13,01020 23 U-13.33-201401131800915012930,01020 23 U,13.33,2.01E+20,5,NDL,1,2,UD,0,I,2370,R
14,01020 23 U-4.69-201401111700915020398,01020 23 U,4.69,2.01E+20,5,NDL,1,2,UD,0,I,2952,R
15,01029 17 U-27.9-201401131755915119430,01029 17 U,27.9,2.01E+20,4,NDL,2,3,UD,0,I,8300,R
16,01029 17 U-33.53-201401090920915114431,01029 17 U,33.53,2.01E+20,4,DL,2,2,UD,0,H,10825,R
17,01029 17RU-34.35-201401071630915117300,01029 17RU,34.35,2.01E+20,5,DL,2,2,UD,0,H,10887,R
18,01029 17RU-40.73-201401091443915117904,01029 17RU,40.73,2.01E+20,5,DL,2,3,UD,0,H,14159,B
19,01036 12 U-31.31-201401091640912515572,01036 12 U,31.31,2.01E+20,5,NDL,1,2,UD,0,I,1082,R
20,01101 08 D-43.81-201401080710912012087,01101 08 D,43.81,2.01E+20,5,NDL,1,2,D,14,H,7136,R
21,01101 08RD-2.04-201401050915912013564,01101 08RD,2.04,2.01E+20,4,DL,1,4,D,4,H,2900,R
22,01101 08RD-30.35-201401080645912012087,01101 08RD,30.35,2.01E+20,5,NDL,1,4,D,60,H,11300,B
23,01101 12 D-27.938-201401010830912620603,01101 12 D,27.938,2.01E+20,5,DL,1,4,D,4,H,5300,R
24,01101 12 D-29.43-201401130210912620496,01101 12 D,29.43,2.01E+20,5,NDL,1,4,D,4,H,5300,R
25,01101 12 D-37.62-201401061450912620607,01101 12 D,37.62,2.01E+20,5,DL,1,4,D,4,H,5400,R
26,01101 12 D-60.62-201401071810912513551,01101 12 D,60.62,2.01E+20,5,NDL,1,4,D,22,H,14800,B
27,01101 12 D-62.73-201401111430912518064,01101 12 D,62.73,2.01E+20,5,DL,2,4,D,22,H,22000,R
28,01101 12 D-71.38-201401061205912511799,01101 12 D,71.38,2.01E+20,3,DL,1,4,D,22,H,21800,B
29,01101 12 D-77.299-201401051527120300490,01101 12 D,77.299,2.01E+20,3,DL,3,4,D,10,I,32000,B
30,01101 12 D-77.38-201401101035120300951,01101 12 D,77.38,2.01E+20,5,DL,2,4,D,10,L,32897,B
31,01101 12 L-78.386-201401011124120300464,01101 12 L,78.386,2.01E+20,3,DL,2,3,D,99,L,19000,B
32,01101 12 R-78.68-201401111650120304027,01101 12 R,78.68,2.01E+20,5,DL,2,3,D,99,L,25500,B
33,01101 12 R-79.07-201401121630120300636,01101 12 R,79.07,2.01E+20,5,DL,2,3,D,99,L,21204,B
34,01101 12RD-130.38-201401081019912514428,01101 12RD,130.38,2.01E+20,5,DL,2,4,D,6,H,2800,R
35,01101 12RD-133.9-201401032310912518771,01101 12RD,133.9,2.01E+20,5,NDL,1,4,D,6,H,2800,R
36,01101 12RD-18.85-201401070450912620496,01101 12RD,18.85,2.01E+20,5,NDL,1,4,D,4,H,5600,R
37,01101 12RD-43.471-201401111615912620368,01101 12RD,43.471,2.01E+20,5,DL,1,4,D,4,H,5650,R
38,01101 12RD-8.27-201401010730912620383,01101 12RD,8.27,2.01E+20,1,DL,1,4,D,4,H,4600,R
39,01101 12RD-91.27-201401121949912516478,01101 12RD,91.27,2.01E+20,5,NDL,1,4,D,46,H,18900,B
40,01101 23 D-29.64-201401120350915019524,01101 23 D,29.64,2.01E+20,4,NDL,1,4,D,46,H,27261,B
41,01101 23 D-30.702-201401110400915014929,01101 23 D,30.702,2.01E+20,1,NDL,1,4,D,46,H,25500,B
42,01101 23 D-58.51-201401042320912619918,01101 23 D,58.51,2.01E+20,3,NDL,1,4,D,4,H,6813,R
43,01101 23 D-59.51-201401131420912620431,01101 23 D,59.51,2.01E+20,3,DL,1,4,D,4,H,6600,R
44,01101 23 D-59.56-201401022210912614469,01101 23 D,59.56,2.01E+20,5,NDL,1,4,D,4,H,6600,R
45,01101 23 D-82.07-201401130735912620592,01101 23 D,82.07,2.01E+20,5,NDL,1,4,D,4,H,6000,R
46,01101 23 U-48.16-201401081545912620354,01101 23 U,48.16,2.01E+20,5,DL,1,2,UD,0,I,6895,B
47,01101 23 U-74.47-201401131700912620366,01101 23 U,74.47,2.01E+20,4,NDL,1,2,UD,0,I,6000,R
48,01101 23 U-93.45-201401132300912620496,01101 23 U,93.45,2.01E+20,5,NDL,1,2,UD,0,I,5900,R
49,01101 23 U-95.37-201401030850912620368,01101 23 U,95.37,2.01E+20,5,DL,1,2,UD,0,I,5900,R
50,01101 23 U-98.32-201401021740912619011,01101 23 U,98.32,2.01E+20,5,NDL,1,2,UD,0,I,5900,R
51,01101 23RD-106.16-201401081850912620592,01101 23RD,106.16,2.01E+20,5,NDL,1,4,D,4,H,4400,R
52,01101 23RD-86.95-201401122040912620502,01101 23RD,86.95,2.01E+20,3,NDL,1,> 4,D,4,H,5954,R
53,01128 23 U-29.13-201401141120915016075,01128 23 U,29.13,2.01E+20,5,DL,2,2,UD,0,I,4252,R
54,01162 23 U-2.1-201401141330912620366,01162 23 U,2.1,2.01E+20,5,DL,1,2,UD,0,I,870,R
55,01175 17 U-17.06-201401141805915117141,01175 17 U,17.06,2.01E+20,2,NDL,1,2,UD,0,L,1796,R
56,01175 17 U-18.87-201401111359915116093,01175 17 U,18.87,2.01E+20,3,DL,2,2,UD,0,L,1796,R
57,01175 23 U-0.5-201401060906915019119,01175 23 U,0.5,2.01E+20,5,DL,1,2,UD,0,I,5000,R
58,01175 23 U-1.77-201401042100915020517,01175 23 U,1.77,2.01E+20,5,NDL,1,2,UD,0,L,3600,R
59,01175 23 U-7.98-201401080715915016680,01175 23 U,7.98,2.01E+20,5,DL,2,2,UD,0,L,1700,R
60,01199 08 U-10.89-201401071344912020703,01199 08 U,10.89,2.01E+20,5,DL,1,2,UD,0,I,3458,R
