,Borough,Zoneid,TNC,AgeCategory,Scaled_pop
1,Manhattan,ID164,14694,2,13.4226087
2,Manhattan,ID164,28274,2,13.89473684
3,Manhattan,ID164,29515,2,13.89473684
4,Manhattan,ID164,30088,2,13.89473684
5,Manhattan,ID164,13437,2,13.4226087
6,Manhattan,ID164,26704,2,13.89473684
7,Manhattan,ID164,29261,2,13.89473684
8,Manhattan,ID164,26042,2,13.89473684
9,Manhattan,ID164,30410,2,13.89473684
10,Manhattan,ID164,30371,2,13.89473684
11,Manhattan,ID164,9767,2,13.4226087
12,Manhattan,ID164,26168,2,13.89473684
13,Manhattan,ID164,35114,2,13.7
14,Manhattan,ID164,17205,2,13.4226087
15,Manhattan,ID164,27709,2,13.89473684
16,Manhattan,ID164,31594,2,13.89473684
17,Manhattan,ID164,9496,2,13.4226087
18,Manhattan,ID164,28782,2,13.89473684
19,Manhattan,ID164,15501,2,13.4226087
20,Manhattan,ID164,20020,2,13.4226087
21,Manhattan,ID211,9544,2,10.08669656
22,Manhattan,ID211,17604,2,10.17708333
23,Manhattan,ID211,18946,2,10.17708333
24,Manhattan,ID211,18344,2,10.17708333
25,Manhattan,ID211,9673,2,10.08669656
26,Manhattan,ID211,21442,2,10.17708333
27,Manhattan,ID211,18405,2,10.17708333
28,Manhattan,ID211,17366,2,10.17708333
29,Manhattan,ID211,19245,2,10.17708333
30,Manhattan,ID211,21497,2,10.17708333
31,Manhattan,ID211,8406,2,10.08669656
32,Manhattan,ID211,16091,2,10.17708333
33,Manhattan,ID211,21185,2,10.00595238
34,Manhattan,ID211,13413,2,10.08669656
35,Manhattan,ID211,15372,2,10.17708333
36,Manhattan,ID211,20107,2,10.17708333
37,Manhattan,ID211,8144,2,10.08669656
38,Manhattan,ID211,17910,2,10.17708333
39,Manhattan,ID211,10816,2,10.08669656
40,Manhattan,ID211,14326,2,10.08669656
41,Manhattan,ID211,15366,2,10.08669656
42,Manhattan,ID211,20179,2,10.00595238
43,Manhattan,ID211,11665,2,10.08669656
44,Manhattan,ID211,7753,2,10.08669656
45,Manhattan,ID261,3814,2,47.54347826
46,Manhattan,ID261,8839,2,48.26595745
47,Manhattan,ID261,9629,2,48.26595745
48,Manhattan,ID261,9534,2,48.26595745
49,Manhattan,ID261,3672,2,47.54347826
50,Manhattan,ID261,6974,2,48.26595745
51,Manhattan,ID261,9068,2,48.26595745
52,Manhattan,ID261,7240,2,48.26595745
53,Manhattan,ID261,9280,2,48.26595745
54,Manhattan,ID261,9687,2,48.26595745
55,Manhattan,ID261,2201,2,47.54347826
56,Manhattan,ID261,8604,2,48.26595745
57,Manhattan,ID261,11370,2,51.11702128
58,Manhattan,ID261,4593,2,47.54347826
59,Manhattan,ID261,7765,2,48.26595745
60,Manhattan,ID261,10303,2,48.26595745
61,Manhattan,ID261,2354,2,47.54347826
62,Manhattan,ID261,8569,2,48.26595745
63,Manhattan,ID261,4662,2,47.54347826
64,Manhattan,ID261,5309,2,47.54347826
65,Manhattan,ID261,5584,2,47.54347826
66,Manhattan,ID261,10791,2,51.11702128
67,Manhattan,ID261,4929,2,47.54347826
68,Manhattan,ID261,1921,2,47.54347826
69,Manhattan,ID261,7261,2,48.26595745
70,Manhattan,ID42,5840,2,28.9751835
71,Manhattan,ID42,9166,2,29.87891441
72,Manhattan,ID42,10917,2,29.87891441
73,Manhattan,ID42,10341,2,29.87891441
74,Manhattan,ID42,3166,2,28.9751835
75,Manhattan,ID42,7521,2,29.87891441
76,Manhattan,ID42,10073,2,29.87891441
77,Manhattan,ID42,9288,2,29.87891441
78,Manhattan,ID42,11133,2,29.87891441
79,Manhattan,ID42,9856,2,29.87891441
80,Manhattan,ID42,1962,2,28.9751835
81,Manhattan,ID42,9931,2,29.87891441
82,Manhattan,ID42,18921,2,30.23556019
83,Manhattan,ID42,4259,2,28.9751835
84,Manhattan,ID42,12568,2,29.87891441
85,Manhattan,ID42,11209,2,29.87891441
86,Manhattan,ID42,2165,2,28.9751835
87,Manhattan,ID42,9182,2,29.87891441
88,Manhattan,ID42,3957,2,28.9751835
89,Manhattan,ID42,4473,2,28.9751835
90,Manhattan,ID42,4593,2,28.9751835
91,Manhattan,ID42,17455,2,30.23556019
92,Manhattan,ID42,4057,2,28.9751835
93,Manhattan,ID42,1834,2,28.9751835
94,Manhattan,ID243,4190,2,78.18904404
95,Manhattan,ID243,6365,2,79.31283711
96,Manhattan,ID243,7142,2,79.31283711
97,Manhattan,ID243,6659,2,79.31283711
98,Manhattan,ID243,1905,2,78.18904404
99,Manhattan,ID243,4499,2,79.31283711
100,Manhattan,ID243,6721,2,79.31283711
101,Manhattan,ID243,6307,2,79.31283711
102,Manhattan,ID243,7399,2,79.31283711
103,Manhattan,ID243,6998,2,79.31283711
104,Manhattan,ID243,847,2,78.18904404
105,Manhattan,ID243,6819,2,79.31283711
106,Manhattan,ID243,12694,2,80.94822006
107,Manhattan,ID243,2711,2,78.18904404
108,Manhattan,ID243,8706,2,79.31283711
109,Manhattan,ID243,7002,2,79.31283711
110,Manhattan,ID243,1232,2,78.18904404
111,Manhattan,ID243,5989,2,79.31283711
112,Manhattan,ID243,2422,2,78.18904404
113,Manhattan,ID243,2774,2,78.18904404
114,Manhattan,ID243,2699,2,78.18904404
115,Manhattan,ID243,11203,2,80.94822006
116,Manhattan,ID243,2347,2,78.18904404
117,Manhattan,ID243,829,2,78.18904404
118,Manhattan,ID87,7495,1,71.87555556
119,Manhattan,ID87,16665,1,75.81447964
120,Manhattan,ID87,17844,1,75.81447964
121,Manhattan,ID87,17414,1,75.81447964
122,Manhattan,ID87,7526,1,71.87555556
123,Manhattan,ID87,14653,1,75.81447964
124,Manhattan,ID87,16755,1,75.81447964
125,Manhattan,ID87,15039,1,75.81447964
126,Manhattan,ID87,17051,1,75.81447964
127,Manhattan,ID87,18284,1,75.81447964
128,Manhattan,ID87,5145,1,71.87555556
129,Manhattan,ID87,16204,1,75.81447964
130,Manhattan,ID87,20382,1,76.07692308
131,Manhattan,ID87,11174,1,71.87555556
132,Manhattan,ID87,13783,1,75.81447964
133,Manhattan,ID87,18355,1,75.81447964
134,Manhattan,ID87,5615,1,71.87555556
135,Manhattan,ID87,17107,1,75.81447964
136,Manhattan,ID87,10224,1,71.87555556
137,Manhattan,ID87,11382,1,71.87555556
138,Manhattan,ID87,11977,1,71.87555556
139,Manhattan,ID87,19173,1,76.07692308
140,Manhattan,ID48,16167,2,23.26225854
141,Manhattan,ID48,30348,2,23.33579882
142,Manhattan,ID48,32163,2,23.33579882
143,Manhattan,ID48,33489,2,23.33579882
144,Manhattan,ID48,13633,2,23.26225854
145,Manhattan,ID48,26290,2,23.33579882
146,Manhattan,ID48,31797,2,23.33579882
147,Manhattan,ID48,26999,2,23.33579882
148,Manhattan,ID48,32643,2,23.33579882
149,Manhattan,ID48,32446,2,23.33579882
150,Manhattan,ID48,9296,2,23.26225854
