,Borough,Zoneid,TNC,Scaled_pop
1,Manhattan,ID164,14694,13.4226087
2,Manhattan,ID164,28274,13.89473684
3,Manhattan,ID164,29515,13.89473684
4,Manhattan,ID164,30088,13.89473684
5,Manhattan,ID164,13437,13.4226087
6,Manhattan,ID164,26704,13.89473684
7,Manhattan,ID164,29261,13.89473684
8,Manhattan,ID164,26042,13.89473684
9,Manhattan,ID164,30410,13.89473684
10,Manhattan,ID164,30371,13.89473684
11,Manhattan,ID164,9767,13.4226087
12,Manhattan,ID164,26168,13.89473684
13,Manhattan,ID164,35114,13.7
14,Manhattan,ID164,17205,13.4226087
15,Manhattan,ID164,27709,13.89473684
16,Manhattan,ID164,31594,13.89473684
17,Manhattan,ID164,9496,13.4226087
18,Manhattan,ID164,28782,13.89473684
19,Manhattan,ID164,15501,13.4226087
20,Manhattan,ID164,20020,13.4226087
21,Manhattan,ID164,21005,13.4226087
22,Manhattan,ID164,32829,13.7
23,Manhattan,ID164,17436,13.4226087
24,Manhattan,ID164,8550,13.4226087
25,Manhattan,ID164,24702,13.89473684
26,Manhattan,ID164,28837,13.89473684
27,Manhattan,ID164,24982,13.89473684
28,Manhattan,ID164,10382,13.4226087
29,Manhattan,ID164,8337,13.4226087
30,Manhattan,ID164,9310,13.4226087
31,Manhattan,ID211,9544,10.08669656
32,Manhattan,ID211,17604,10.17708333
33,Manhattan,ID211,18946,10.17708333
34,Manhattan,ID211,18344,10.17708333
35,Manhattan,ID211,9673,10.08669656
36,Manhattan,ID211,21442,10.17708333
37,Manhattan,ID211,18405,10.17708333
38,Manhattan,ID211,17366,10.17708333
39,Manhattan,ID211,19245,10.17708333
40,Manhattan,ID211,21497,10.17708333
41,Manhattan,ID211,8406,10.08669656
42,Manhattan,ID211,16091,10.17708333
43,Manhattan,ID211,21185,10.00595238
44,Manhattan,ID211,13413,10.08669656
45,Manhattan,ID211,15372,10.17708333
46,Manhattan,ID211,20107,10.17708333
47,Manhattan,ID211,8144,10.08669656
48,Manhattan,ID211,17910,10.17708333
49,Manhattan,ID211,10816,10.08669656
50,Manhattan,ID211,14326,10.08669656
51,Manhattan,ID211,15366,10.08669656
52,Manhattan,ID211,20179,10.00595238
53,Manhattan,ID211,11665,10.08669656
54,Manhattan,ID211,7753,10.08669656
55,Manhattan,ID211,15330,10.17708333
56,Manhattan,ID211,17415,10.17708333
57,Manhattan,ID211,17211,10.17708333
58,Manhattan,ID211,8967,10.08669656
59,Manhattan,ID211,7624,10.08669656
60,Manhattan,ID211,8419,10.08669656
61,Manhattan,ID261,3814,47.54347826
62,Manhattan,ID261,8839,48.26595745
63,Manhattan,ID261,9629,48.26595745
64,Manhattan,ID261,9534,48.26595745
65,Manhattan,ID261,3672,47.54347826
66,Manhattan,ID261,6974,48.26595745
67,Manhattan,ID261,9068,48.26595745
68,Manhattan,ID261,7240,48.26595745
69,Manhattan,ID261,9280,48.26595745
70,Manhattan,ID261,9687,48.26595745
71,Manhattan,ID261,2201,47.54347826
72,Manhattan,ID261,8604,48.26595745
73,Manhattan,ID261,11370,51.11702128
74,Manhattan,ID261,4593,47.54347826
75,Manhattan,ID261,7765,48.26595745
76,Manhattan,ID261,10303,48.26595745
77,Manhattan,ID261,2354,47.54347826
78,Manhattan,ID261,8569,48.26595745
79,Manhattan,ID261,4662,47.54347826
80,Manhattan,ID261,5309,47.54347826
81,Manhattan,ID261,5584,47.54347826
82,Manhattan,ID261,10791,51.11702128
83,Manhattan,ID261,4929,47.54347826
84,Manhattan,ID261,1921,47.54347826
85,Manhattan,ID261,7261,48.26595745
86,Manhattan,ID261,9219,48.26595745
87,Manhattan,ID261,6853,48.26595745
88,Manhattan,ID261,2631,47.54347826
89,Manhattan,ID261,1999,47.54347826
90,Manhattan,ID261,2135,47.54347826
91,Manhattan,ID42,5840,28.9751835
92,Manhattan,ID42,9166,29.87891441
93,Manhattan,ID42,10917,29.87891441
94,Manhattan,ID42,10341,29.87891441
95,Manhattan,ID42,3166,28.9751835
96,Manhattan,ID42,7521,29.87891441
97,Manhattan,ID42,10073,29.87891441
98,Manhattan,ID42,9288,29.87891441
99,Manhattan,ID42,11133,29.87891441
100,Manhattan,ID42,9856,29.87891441
101,Manhattan,ID42,1962,28.9751835
102,Manhattan,ID42,9931,29.87891441
103,Manhattan,ID42,18921,30.23556019
104,Manhattan,ID42,4259,28.9751835
105,Manhattan,ID42,12568,29.87891441
106,Manhattan,ID42,11209,29.87891441
107,Manhattan,ID42,2165,28.9751835
108,Manhattan,ID42,9182,29.87891441
109,Manhattan,ID42,3957,28.9751835
110,Manhattan,ID42,4473,28.9751835
111,Manhattan,ID42,4593,28.9751835
112,Manhattan,ID42,17455,30.23556019
113,Manhattan,ID42,4057,28.9751835
114,Manhattan,ID42,1834,28.9751835
115,Manhattan,ID42,8993,29.87891441
116,Manhattan,ID42,10048,29.87891441
117,Manhattan,ID42,8451,29.87891441
118,Manhattan,ID42,2402,28.9751835
119,Manhattan,ID42,1862,28.9751835
120,Manhattan,ID42,2141,28.9751835
121,Manhattan,ID243,4190,78.18904404
122,Manhattan,ID243,6365,79.31283711
123,Manhattan,ID243,7142,79.31283711
124,Manhattan,ID243,6659,79.31283711
125,Manhattan,ID243,1905,78.18904404
126,Manhattan,ID243,4499,79.31283711
127,Manhattan,ID243,6721,79.31283711
128,Manhattan,ID243,6307,79.31283711
129,Manhattan,ID243,7399,79.31283711
130,Manhattan,ID243,6998,79.31283711
131,Manhattan,ID243,847,78.18904404
132,Manhattan,ID243,6819,79.31283711
133,Manhattan,ID243,12694,80.94822006
134,Manhattan,ID243,2711,78.18904404
