"State_arrived","state_departed","movement_estimate","movement_moe"
"Alabama","Alabama",NA,NA
"Alabama","Alaska",1105,776
"Alabama","Arizona",904,591
"Alabama","Arkansas",813,569
"Alabama","California",3690,1160
"Alabama","Colorado",2042,941
"Alabama","Connecticut",705,679
"Alabama","Delaware",0,206
"Alabama","District of Columbia",248,256
"Alabama","Florida",15519,3848
"Alabama","Georgia",13993,2746
"Alabama","Hawaii",668,594
"Alabama","Idaho",0,206
"Alabama","Illinois",1962,710
"Alabama","Indiana",3451,2633
"Alabama","Iowa",722,832
"Alabama","Kansas",1212,845
"Alabama","Kentucky",1500,685
"Alabama","Louisiana",3789,1924
"Alabama","Maine",140,178
"Alabama","Maryland",808,719
"Alabama","Massachusetts",1452,835
"Alabama","Michigan",1893,889
"Alabama","Minnesota",41,51
"Alabama","Mississippi",4377,1500
"Alabama","Missouri",864,411
"Alabama","Montana",151,212
"Alabama","Nebraska",386,479
"Alabama","Nevada",771,556
"Alabama","New Hampshire",176,173
"Alabama","New Jersey",599,404
"Alabama","New Mexico",53,96
"Alabama","New York",1996,903
"Alabama","North Carolina",3597,1768
"Alabama","North Dakota",17,29
"Alabama","Ohio",2364,1082
"Alabama","Oklahoma",541,478
"Alabama","Oregon",245,246
"Alabama","Pennsylvania",2336,1331
"Alabama","Rhode Island",257,264
"Alabama","South Carolina",2448,1135
"Alabama","South Dakota",0,206
"Alabama","Tennessee",9970,2066
"Alabama","Texas",8405,2507
"Alabama","Utah",2083,1517
"Alabama","Vermont",0,206
"Alabama","Virginia",2876,986
"Alabama","Washington",1883,1532
"Alabama","West Virginia",421,403
"Alabama","Wisconsin",1307,836
"Alabama","Wyoming",0,206
"Alabama","Puerto Rico",338,500
"Alaska","Alabama",260,246
"Alaska","Alaska",NA,NA
"Alaska","Arizona",886,530
"Alaska","Arkansas",12,22
"Alaska","California",2547,1004
"Alaska","Colorado",685,368
"Alaska","Connecticut",153,127
"Alaska","Delaware",224,277
"Alaska","District of Columbia",69,90
"Alaska","Florida",2473,1357
"Alaska","Georgia",743,567
"Alaska","Hawaii",217,239
"Alaska","Idaho",1644,1374
"Alaska","Illinois",952,846
"Alaska","Indiana",0,163
"Alaska","Iowa",143,233
"Alaska","Kansas",1296,1260
"Alaska","Kentucky",1017,1166
"Alaska","Louisiana",529,409
"Alaska","Maine",77,94
"Alaska","Maryland",339,422
"Alaska","Massachusetts",515,417
"Alaska","Michigan",310,295
"Alaska","Minnesota",417,550
"Alaska","Mississippi",86,152
"Alaska","Missouri",890,822
"Alaska","Montana",113,146
"Alaska","Nebraska",1,4
"Alaska","Nevada",986,731
"Alaska","New Hampshire",0,163
"Alaska","New Jersey",0,163
"Alaska","New Mexico",878,751
"Alaska","New York",329,287
"Alaska","North Carolina",2557,2303
"Alaska","North Dakota",187,268
"Alaska","Ohio",29,51
"Alaska","Oklahoma",359,341
"Alaska","Oregon",750,358
"Alaska","Pennsylvania",385,265
"Alaska","Rhode Island",0,163
"Alaska","South Carolina",448,434
"Alaska","South Dakota",280,248
"Alaska","Tennessee",301,306
"Alaska","Texas",4332,2059
"Alaska","Utah",1092,636
"Alaska","Vermont",44,75
"Alaska","Virginia",2216,1046
"Alaska","Washington",1435,566
"Alaska","West Virginia",355,463
"Alaska","Wisconsin",228,270
"Alaska","Wyoming",242,196
"Alaska","Puerto Rico",37,61
"Arizona","Alabama",1750,1004
"Arizona","Alaska",1561,830
"Arizona","Arizona",NA,NA
"Arizona","Arkansas",1022,730
"Arizona","California",59713,6458
"Arizona","Colorado",14684,4849
"Arizona","Connecticut",895,556
"Arizona","Delaware",653,850
"Arizona","District of Columbia",239,209
"Arizona","Florida",7358,2326
"Arizona","Georgia",3947,1348
"Arizona","Hawaii",4942,2017
"Arizona","Idaho",2961,1258
"Arizona","Illinois",10915,2290
"Arizona","Indiana",3156,1087
"Arizona","Iowa",2982,1107
"Arizona","Kansas",3742,1369
"Arizona","Kentucky",383,347
"Arizona","Louisiana",1650,972
"Arizona","Maine",218,225
"Arizona","Maryland",1905,894
"Arizona","Massachusetts",2745,920
"Arizona","Michigan",7914,2393
"Arizona","Minnesota",5868,1595
"Arizona","Mississippi",393,358
"Arizona","Missouri",2248,859
"Arizona","Montana",1636,717
"Arizona","Nebraska",2307,1563
"Arizona","Nevada",7514,2223
"Arizona","New Hampshire",392,260
"Arizona","New Jersey",3221,1473
"Arizona","New Mexico",7251,1912
"Arizona","New York",6079,1484
"Arizona","North Carolina",4038,2332
"Arizona","North Dakota",1012,555
"Arizona","Ohio",5178,1509
"Arizona","Oklahoma",2042,1158
"Arizona","Oregon",6979,2070
"Arizona","Pennsylvania",4906,2023
"Arizona","Rhode Island",227,244
"Arizona","South Carolina",304,299
"Arizona","South Dakota",989,623
"Arizona","Tennessee",2253,1067
"Arizona","Texas",17482,3105
"Arizona","Utah",8917,2229
"Arizona","Vermont",662,664
"Arizona","Virginia",3837,1670
"Arizona","Washington",17636,3237
"Arizona","West Virginia",237,314
"Arizona","Wisconsin",3688,1335
"Arizona","Wyoming",664,434
"Arizona","Puerto Rico",970,909
"Arkansas","Alabama",636,389
"Arkansas","Alaska",98,168
"Arkansas","Arizona",692,296
